QC Batch ID,QC Type,QC No.,Test,Parameter,Result,Units,Mark,Analyst,Analysis Date,ParamAnalysisDate,ParamAnalyst,D.F.,Volume,%Rec,ACP %Rec,%RPD,ACP %RPD,Spike Amnt.,Spike Units,Status,Entered By,Entered Date,"ValidatedBy",Validated Date,"ApprovedBy",Approved Date,Permission,Measured Result,Method Volume,"PercentMoisture",Extract Volume,Method Ext. Volume,Method,Matrix,Report,Qual.,Instrument,Comment
QC2023031301,4 pH,1,pH,pH,3.99,SU,Unchecked,shavens,03/13/2023 00:00,,,1,,99.75,,,,4,SU,Pending Validation,shavens,03/16/2023 14:23,,,,,Approve,,,0,,,ELA-MT100,Lake Water,Checked,,MANTECH MT-100,
QC2023031301,6 pH,1,pH,pH,6.01,SU,Unchecked,shavens,03/13/2023 00:00,,,1,,100.17,,,,6,SU,Pending Validation,shavens,03/16/2023 14:23,,,,,Approve,,,0,,,ELA-MT100,Lake Water,Checked,,MANTECH MT-100,
QC2023031301,8 pH,1,pH,pH,8.02,SU,Unchecked,shavens,03/13/2023 00:00,,,1,,100.25,,,,8,SU,Pending Validation,shavens,03/16/2023 14:23,,,,,Approve,,,0,,,ELA-MT100,Lake Water,Checked,,MANTECH MT-100,
QC2023031301,Instrument Duplicate,1,pH,pH,6.79,SU,Unchecked,shavens,03/13/2023 00:00,,,1,,,,0.00,-31.21-34.04,0,,Pending Validation,shavens,03/16/2023 14:23,,,,,Approve,,,0,,,ELA-MT100,Lake Water,Checked,,MANTECH MT-100,
QC2023031301,Instrument Duplicate,2,pH,pH,5.97,SU,Unchecked,shavens,03/13/2023 00:00,,,1,,,,0.17,-31.21-34.04,0,,Pending Validation,shavens,03/16/2023 14:23,,,,,Approve,,,0,,,ELA-MT100,Lake Water,Checked,,MANTECH MT-100,
QC2023031301,Ref Sample,1,pH,pH,6.96,SU,Unchecked,shavens,03/13/2023 00:00,,,1,,,,,,,SU,Pending Validation,shavens,03/16/2023 14:23,,,,,Approve,,,0,,,ELA-MT100,Lake Water,Checked,,MANTECH MT-100,
QC2023031401,4 pH,1,pH,pH,3.98,SU,Unchecked,shavens,03/14/2023 00:00,,,1,,99.50,,,,4,SU,Pending Validation,shavens,03/16/2023 14:18,,,,,Approve,,,0,,,ELA-MT100,Lake Water,Checked,,MANTECH MT-100,
QC2023031401,6 pH,1,pH,pH,6.03,SU,Unchecked,shavens,03/14/2023 00:00,,,1,,100.50,,,,6,SU,Pending Validation,shavens,03/16/2023 14:18,,,,,Approve,,,0,,,ELA-MT100,Lake Water,Checked,,MANTECH MT-100,
QC2023031401,8 pH,1,pH,pH,7.98,SU,Unchecked,shavens,03/14/2023 00:00,,,1,,99.75,,,,8,SU,Pending Validation,shavens,03/16/2023 14:18,,,,,Approve,,,0,,,ELA-MT100,Lake Water,Checked,,MANTECH MT-100,
QC2023031401,Instrument Duplicate,1,pH,pH,6.24,SU,Unchecked,shavens,03/14/2023 00:00,,,1,,,,3.15,-31.21-34.04,0,,Pending Validation,shavens,03/16/2023 14:18,,,,,Approve,,,0,,,ELA-MT100,Lake Water,Checked,,MANTECH MT-100,
