sample ID,Accumet,accumet_dup,Orion ,orion_dup,Accumet_rpd,Orion_rpd
2023060502-04,7.132,7.149,7.13,7.15,-0.24%,-0.28%
2023060602-04,6.322,6.335,6.32,6.34,-0.21%,-0.32%
2023060701-01,7.118,7.104,7.12,7.1,0.20%,0.28%
2023061202-04,7.058,7.074,7.06,7.07,-0.23%,-0.14%
2023061304-01,6.714,6.719,6.71,6.72,-0.07%,-0.15%
2023061405-01,7.198,7.21,7.2,7.21,-0.17%,-0.14%
2023061902-04,7.155,7.167,7.16,7.17,-0.17%,-0.14%
2023062002-01,7.174,7.174,7.17,7.17,0.00%,0.00%
2023062102-03,6.766,6.782,6.77,6.78,-0.24%,-0.15%
2023062602-04,7.241,7.258,7.24,7.26,-0.23%,-0.28%
2023062704-01,6.625,6.608,6.63,6.61,0.26%,0.30%
2023062803-04,6.648,6.658,6.65,6.66,-0.15%,-0.15%
2023070402-04,7.401,7.382,7.4,7.38,0.26%,0.27%
2023070502-04,6.25,6.265,6.25,6.27,-0.24%,-0.32%
2023071002-04,7.313,7.306,7.31,7.31,0.10%,0.00%
2023071103-01,6.211,6.201,6.21,6.2,0.16%,0.16%
